issue,game,platform,reviewer,year,month,average_score,scores
9,Batman: The Video Game (NES),NES,Steve Harris 8 Ed Semrad 8 Martin Alessi 8 Jim Stockhausen 7,1990,4,7.75,"[8.0, 8.0, 8.0, 7.0]"
9,Blue Lightning,Lynx,Steve Harris 8 Ed Semrad 7 Martin Alessi 8 Jim Stockhausen 8,1990,4,7.75,"[8.0, 7.0, 8.0, 8.0]"
9,Bonk’s Adventure,TurboGrafx-16,Steve Harris 7 Ed Semrad 8 Martin Alessi 7 Jim Stockhausen 8,1990,4,7.5,"[7.0, 8.0, 7.0, 8.0]"
9,Boxxle,Game Boy,Steve Harris 7 Ed Semrad 7 Martin Alessi 6 Jim Stockhausen 5,1990,4,6.25,"[7.0, 7.0, 6.0, 5.0]"
9,Chip’s Challenge,Lynx,Steve Harris 7 Ed Semrad 7 Martin Alessi 8 Jim Stockhausen 6,1990,4,7,"[7.0, 7.0, 8.0, 6.0]"
9,Cratermaze,TurboGrafx-16,Steve Harris 4 Ed Semrad 4 Martin Alessi 5 Jim Stockhausen 3,1990,4,4,"[4.0, 4.0, 5.0, 3.0]"
9,Final Lap Twin,TurboGrafx-16,Steve Harris 7 Ed Semrad 7 Martin Alessi 4 Jim Stockhausen 6,1990,4,6,"[7.0, 7.0, 4.0, 6.0]"
9,Golf,Game Boy,Steve Harris 7 Ed Semrad 8 Martin Alessi 7 Jim Stockhausen 8,1990,4,7.5,"[7.0, 8.0, 7.0, 8.0]"
9,Hyper Lode Runner,Game Boy,Steve Harris 3 Ed Semrad 3 Martin Alessi 4 Jim Stockhausen 3,1990,4,3.25,"[3.0, 3.0, 4.0, 3.0]"
9,Kwirk,Game Boy,Steve Harris 6 Ed Semrad 3 Martin Alessi 5 Jim Stockhausen 6,1990,4,5,"[6.0, 3.0, 5.0, 6.0]"
9,Mystic Defender,Genesis,Steve Harris 8 Ed Semrad 5 Martin Alessi 7 Jim Stockhausen 8,1990,4,7,"[8.0, 5.0, 7.0, 8.0]"
9,Phantasy Star II,Genesis,Steve Harris 7 Ed Semrad 9 Martin Alessi 8 Jim Stockhausen 8,1990,4,8,"[7.0, 9.0, 8.0, 8.0]"
9,Phantom Fighter,NES,Steve Harris 6 Ed Semrad 3 Martin Alessi 6 Jim Stockhausen 5,1990,4,5,"[6.0, 3.0, 6.0, 5.0]"
9,Shinobi,NES,Steve Harris 5 Ed Semrad 5 Martin Alessi 4 Jim Stockhausen 4,1990,4,4.5,"[5.0, 5.0, 4.0, 4.0]"
9,Super Mario Bros. 3,NES,Steve Harris 9 Ed Semrad 9 Martin Alessi 9 Jim Stockhausen 9,1990,4,9,"[9.0, 9.0, 9.0, 9.0]"
9,Ultima IV: Quest of the Avatar,Sega Master System,Steve Harris 5 Ed Semrad 8 Martin Alessi 8 Jim Stockhausen 7,1990,4,7,"[5.0, 8.0, 8.0, 7.0]"
9,WCW Wrestling,NES,Steve Harris 7 Ed Semrad 6 Martin Alessi 6 Jim Stockhausen 6,1990,4,6.25,"[7.0, 6.0, 6.0, 6.0]"
9,Wrath of the Black Manta,NES,Steve Harris 6 Ed Semrad 6 Martin Alessi 6 Jim Stockhausen 7,1990,4,6.25,"[6.0, 6.0, 6.0, 7.0]"
9,Xexyz,NES,Steve Harris 7 Ed Semrad 7 Martin Alessi 6 Jim Stockhausen 6,1990,4,6.5,"[7.0, 7.0, 6.0, 6.0]"
10,Abadox: The Deadly Inner War,NES,Steve Harris 7 Ed Semrad 6 Martin Alessi 6 Jim Stockhausen 7,1990,5,6.5,"[7.0, 6.0, 6.0, 7.0]"
10,Air Diver,Genesis,Steve Harris 7 Ed Semrad 7 Martin Alessi 6 Jim Stockhausen 7,1990,5,6.75,"[7.0, 7.0, 6.0, 7.0]"
10,Al Unser Jr.’s Turbo Racing,NES,Steve Harris 7 Ed Semrad 4 Martin Alessi 5 Jim Stockhausen 7,1990,5,5.75,"[7.0, 4.0, 5.0, 7.0]"
10,Burai Fighter,NES,Steve Harris 8 Ed Semrad 7 Martin Alessi 6 Jim Stockhausen 7,1990,5,7,"[8.0, 7.0, 6.0, 7.0]"
10,Code Name: Viper,NES,Steve Harris 8 Ed Semrad 5 Martin Alessi 6 Jim Stockhausen 7,1990,5,6.5,"[8.0, 5.0, 6.0, 7.0]"
10,Flipull,Game Boy,Steve Harris 7 Ed Semrad 8 Martin Alessi 6 Jim Stockhausen 7,1990,5,7,"[7.0, 8.0, 6.0, 7.0]"
10,Ghostbusters II (NES),NES,Steve Harris 5 Ed Semrad 4 Martin Alessi 3 Jim Stockhausen 4,1990,5,4,"[5.0, 4.0, 3.0, 4.0]"
10,Heavy Barrel,NES,Steve Harris 7 Ed Semrad 7 Martin Alessi 7 Jim Stockhausen 7,1990,5,7,"[7.0, 7.0, 7.0, 7.0]"
10,Herzog Zwei,Genesis,Steve Harris 4 Ed Semrad 6 Martin Alessi 4 Jim Stockhausen 3,1990,5,4.25,"[4.0, 6.0, 4.0, 3.0]"
10,J.J. & Jeff,TurboGrafx-16,Steve Harris 8 Ed Semrad 8 Martin Alessi 7 Jim Stockhausen 7,1990,5,7.5,"[8.0, 8.0, 7.0, 7.0]"
10,Neutopia,TurboGrafx-16,Steve Harris 7 Ed Semrad 6 Martin Alessi 7 Jim Stockhausen 8,1990,5,7,"[7.0, 6.0, 7.0, 8.0]"
10,Space Invaders (1990),Game Boy,Steve Harris 5 Ed Semrad 2 Martin Alessi 3 Jim Stockhausen 4,1990,5,3.5,"[5.0, 2.0, 3.0, 4.0]"
10,Super C,NES,Steve Harris 8 Ed Semrad 8 Martin Alessi 8 Jim Stockhausen 8,1990,5,8,"[8.0, 8.0, 8.0, 8.0]"
10,Super Hydlide,Genesis,Steve Harris 4 Ed Semrad 6 Martin Alessi 4 Jim Stockhausen 6,1990,5,5,"[4.0, 6.0, 4.0, 6.0]"
10,Takin’ It to the Hoop,TurboGrafx-16,Steve Harris 6 Ed Semrad 8 Martin Alessi 6 Jim Stockhausen 6,1990,5,6.5,"[6.0, 8.0, 6.0, 6.0]"
10,Tecmo World Wrestling,NES,Steve Harris 6 Ed Semrad 7 Martin Alessi 6 Jim Stockhausen 7,1990,5,6.5,"[6.0, 7.0, 6.0, 7.0]"
10,The Amazing Spider-Man (1990),Game Boy,Steve Harris 8 Ed Semrad 7 Martin Alessi 7 Jim Stockhausen 7,1990,5,7.25,"[8.0, 7.0, 7.0, 7.0]"
11,Cyber Core,TurboGrafx-16,Steve Harris 7 Ed Semrad 8 Martin Alessi 7 Jim Stockhausen 6,1990,6,7,"[7.0, 8.0, 7.0, 6.0]"
11,Cyberball,Genesis,Steve Harris 6 Ed Semrad 7 Martin Alessi 6 Jim Stockhausen 8,1990,6,6.75,"[6.0, 7.0, 6.0, 8.0]"
11,Gauntlet III: The Final Quest,Lynx,Steve Harris 7 Ed Semrad 7 Martin Alessi 8 Jim Stockhausen 6,1990,6,7,"[7.0, 7.0, 8.0, 6.0]"
11,Ivan “Ironman” Stewart’s Super Off Road,NES,Steve Harris 7 Ed Semrad 7 Martin Alessi 7 Jim Stockhausen 8,1990,6,7.25,"[7.0, 7.0, 7.0, 8.0]"
11,Nightmare on Elm Street,NES,Steve Harris 6 Ed Semrad 4 Martin Alessi 4 Jim Stockhausen 5,1990,6,4.75,"[6.0, 4.0, 4.0, 5.0]"
11,Psycho Fox,Sega Master System,Steve Harris 7 Ed Semrad 7 Martin Alessi 7 Jim Stockhausen 7,1990,6,7,"[7.0, 7.0, 7.0, 7.0]"
11,Rad Racer 2,NES,Steve Harris 7 Ed Semrad 5 Martin Alessi 5 Jim Stockhausen 7,1990,6,6,"[7.0, 5.0, 5.0, 7.0]"
11,Shove It!,Genesis,Steve Harris 4 Ed Semrad 3 Martin Alessi 3 Jim Stockhausen 3,1990,6,3.25,"[4.0, 3.0, 3.0, 3.0]"
11,Target: Renegade,NES,Steve Harris 4 Ed Semrad 4 Martin Alessi 5 Jim Stockhausen 5,1990,6,4.5,"[4.0, 4.0, 5.0, 5.0]"
11,Terra Cresta,NES,Steve Harris 6 Ed Semrad 5 Martin Alessi 6 Jim Stockhausen 5,1990,6,5.5,"[6.0, 5.0, 6.0, 5.0]"
11,The Mafat Conspiracy,NES,Steve Harris 7 Ed Semrad 9 Martin Alessi 7 Jim Stockhausen 7,1990,6,7.5,"[7.0, 9.0, 7.0, 7.0]"
12,Bigfoot,NES,Steve Harris 4 Ed Semrad 5 Martin Alessi 6 Sushi-X 5,1990,7,5,"[4.0, 5.0, 6.0, 5.0]"
12,Bloody Wolf,TurboGrafx-16,Steve Harris 7 Ed Semrad 7 Martin Alessi 8 Sushi-X 8,1990,7,7.5,"[7.0, 7.0, 8.0, 8.0]"
12,Chip ‘n Dale Rescue Rangers,NES,Steve Harris 7 Ed Semrad 9 Martin Alessi 7 Sushi-X 8,1990,7,7.75,"[7.0, 9.0, 7.0, 8.0]"
12,Curse,Genesis,Steve Harris 8 Ed Semrad 7 Martin Alessi 7 Sushi-X 7,1990,7,7.25,"[8.0, 7.0, 7.0, 7.0]"
12,Double Dragon (Game Boy),Game Boy,Steve Harris 7 Ed Semrad 7 Martin Alessi 7 Sushi-X 7,1990,7,7,"[7.0, 7.0, 7.0, 7.0]"
12,Double Dungeons,TurboGrafx-16,Steve Harris 4 Ed Semrad 6 Martin Alessi 6 Sushi-X 5,1990,7,5.25,"[4.0, 6.0, 6.0, 5.0]"
12,Image Fight,NES,Steve Harris 7 Ed Semrad 8 Martin Alessi 8 Sushi-X 7,1990,7,7.5,"[7.0, 8.0, 8.0, 7.0]"
12,NARC (1988),NES,Steve Harris 7 Ed Semrad 6 Martin Alessi 7 Sushi-X 8,1990,7,7,"[7.0, 6.0, 7.0, 8.0]"
12,Ninja Gaiden II: The Dark Sword of Chaos,NES,Steve Harris 9 Ed Semrad 9 Martin Alessi 9 Sushi-X 8,1990,7,8.75,"[9.0, 9.0, 9.0, 8.0]"
12,Target Earth,Genesis,Steve Harris 6 Ed Semrad 7 Martin Alessi 6 Sushi-X 5,1990,7,6,"[6.0, 7.0, 6.0, 5.0]"
12,Todd’s Adventures in Slime World,Lynx,Steve Harris 5 Ed Semrad 6 Martin Alessi 7 Sushi-X 8,1990,7,6.5,"[5.0, 6.0, 7.0, 8.0]"
13,After Burner II,Genesis,Steve Harris 8 Ed Semrad 9 Martin Alessi 8 Sushi-X 8,1990,8,8.25,"[8.0, 9.0, 8.0, 8.0]"
13,Boulder Dash,NES,Steve Harris 5 Ed Semrad 6 Martin Alessi 7 Sushi-X 9,1990,8,6.75,"[5.0, 6.0, 7.0, 9.0]"
13,Crystalis,NES,Steve Harris 7 Ed Semrad 8 Martin Alessi 7 Sushi-X 8,1990,8,7.5,"[7.0, 8.0, 7.0, 8.0]"
13,Dragon Spirit: The New Legend,NES,Steve Harris 7 Ed Semrad 5 Martin Alessi 6 Sushi-X 7,1990,8,6.25,"[7.0, 5.0, 6.0, 7.0]"
13,ESWAT: City Under Siege,Sega Master System,Steve Harris 4 Ed Semrad 5 Martin Alessi 6 Sushi-X 5,1990,8,5,"[4.0, 5.0, 6.0, 5.0]"
13,Kickle Cubicle,NES,Steve Harris 8 Ed Semrad 8 Martin Alessi 7 Sushi-X 9,1990,8,8,"[8.0, 8.0, 7.0, 9.0]"
13,Klax,NES,Steve Harris 7 Ed Semrad 6 Martin Alessi 7 Sushi-X 7,1990,8,6.75,"[7.0, 6.0, 7.0, 7.0]"
13,Low G Man: The Low Gravity Man,NES,Steve Harris 6 Ed Semrad 8 Martin Alessi 6 Sushi-X 5,1990,8,6.25,"[6.0, 8.0, 6.0, 5.0]"
13,Mechanized Attack,NES,Steve Harris 5 Ed Semrad 6 Martin Alessi 5 Sushi-X 6,1990,8,5.5,"[5.0, 6.0, 5.0, 6.0]"
13,Solstice,NES,Steve Harris 7 Ed Semrad 8 Martin Alessi 7 Sushi-X 8,1990,8,7.5,"[7.0, 8.0, 7.0, 8.0]"
13,Splatterhouse (1988),TurboGrafx-16,Steve Harris 8 Ed Semrad 8 Martin Alessi 8 Sushi-X 8,1990,8,8,"[8.0, 8.0, 8.0, 8.0]"
13,Spot: The Video Game,NES,Steve Harris 7 Ed Semrad 8 Martin Alessi 7 Sushi-X 8,1990,8,7.5,"[7.0, 8.0, 7.0, 8.0]"
13,Thunderbirds (1990),NES,Steve Harris 6 Ed Semrad 5 Martin Alessi 4 Sushi-X 5,1990,8,5,"[6.0, 5.0, 4.0, 5.0]"
13,Wizardry: Proving Grounds of the Mad Overlord,NES,Steve Harris 4 Ed Semrad 7 Martin Alessi 3 Sushi-X 3,1990,8,4.25,"[4.0, 7.0, 3.0, 3.0]"
14,Batman: The Video Game (Game Boy),Game Boy,Steve Harris 8 Ed Semrad 8 Martin Alessi 8 Sushi-X 7,1990,9,7.75,"[8.0, 8.0, 8.0, 7.0]"
14,Budokan: The Martial Spirit,Genesis,Steve Harris 3 Ed Semrad 3 Martin Alessi 4 Sushi-X 5,1990,9,3.75,"[3.0, 3.0, 4.0, 5.0]"
14,Columns,Sega Master System,Steve Harris 5 Ed Semrad 6 Martin Alessi 5 Sushi-X 6,1990,9,5.5,"[5.0, 6.0, 5.0, 6.0]"
14,Devil’s Crush,TurboGrafx-16,Steve Harris 5 Ed Semrad 7 Martin Alessi 7 Sushi-X 8,1990,9,6.75,"[5.0, 7.0, 7.0, 8.0]"
14,Journey to Silius,NES,Steve Harris 6 Ed Semrad 6 Martin Alessi 7 Sushi-X 6,1990,9,6.25,"[6.0, 6.0, 7.0, 6.0]"
14,Klax,Lynx,Steve Harris 9 Ed Semrad 8 Martin Alessi 8 Sushi-X 8,1990,9,8.25,"[9.0, 8.0, 8.0, 8.0]"
14,Moonwalker,Genesis,Steve Harris 7 Ed Semrad 7 Martin Alessi 7 Sushi-X 7,1990,9,7,"[7.0, 7.0, 7.0, 7.0]"
14,Psychosis,TurboGrafx-16,Steve Harris 8 Ed Semrad 8 Martin Alessi 8 Sushi-X 8,1990,9,8,"[8.0, 8.0, 8.0, 8.0]"
14,RollerGames,NES,Steve Harris 6 Ed Semrad 6 Martin Alessi 5 Sushi-X 6,1990,9,5.75,"[6.0, 6.0, 5.0, 6.0]"
14,Super Monaco GP,Sega Master System,Steve Harris 4 Ed Semrad 6 Martin Alessi 5 Sushi-X 4,1990,9,4.75,"[4.0, 6.0, 5.0, 4.0]"
14,Swords and Serpents,NES,Steve Harris 4 Ed Semrad 7 Martin Alessi 4 Sushi-X 7,1990,9,5.5,"[4.0, 7.0, 4.0, 7.0]"
14,Total Recall,NES,Steve Harris 3 Ed Semrad 3 Martin Alessi 3 Sushi-X 2,1990,9,2.75,"[3.0, 3.0, 3.0, 2.0]"
14,Wizards & Warriors X: The Fortress of Fear,Game Boy,Steve Harris 7 Ed Semrad 7 Martin Alessi 7 Sushi-X 7,1990,9,7,"[7.0, 7.0, 7.0, 7.0]"
14,Xenophobe,Lynx,Steve Harris 5 Ed Semrad 6 Martin Alessi 7 Sushi-X 6,1990,9,6,"[5.0, 6.0, 7.0, 6.0]"
15,Castlevania III: Dracula’s Curse,NES,Steve Harris 9 Ed Semrad 8 Martin Alessi 9 Sushi-X 9,1990,10,8.75,"[9.0, 8.0, 9.0, 9.0]"
15,ESWAT: City Under Siege,Genesis,Steve Harris 7 Ed Semrad 7 Martin Alessi 7 Sushi-X 9,1990,10,7.5,"[7.0, 7.0, 7.0, 9.0]"
15,Fire Shark,Genesis,Steve Harris 9 Ed Semrad 9 Martin Alessi 8 Sushi-X 7,1990,10,8.25,"[9.0, 9.0, 8.0, 7.0]"
15,Flying Warriors,NES,Steve Harris 7 Ed Semrad 7 Martin Alessi 7 Sushi-X 7,1990,10,7,"[7.0, 7.0, 7.0, 7.0]"
15,Gremlins 2: The New Batch (NES),NES,Steve Harris 7 Ed Semrad 9 Martin Alessi 8 Sushi-X 8,1990,10,8,"[7.0, 9.0, 8.0, 8.0]"
15,Insector X,Genesis,Steve Harris 7 Ed Semrad 8 Martin Alessi 8 Sushi-X 8,1990,10,7.75,"[7.0, 8.0, 8.0, 8.0]"
15,Legendary Axe II,TurboGrafx-16,Steve Harris 7 Ed Semrad 7 Martin Alessi 8 Sushi-X 6,1990,10,7,"[7.0, 7.0, 8.0, 6.0]"
15,Mega Man 3,NES,Steve Harris 9 Ed Semrad 9 Martin Alessi 9 Sushi-X 9,1990,10,9,"[9.0, 9.0, 9.0, 9.0]"
15,Ninja Spirit,TurboGrafx-16,Steve Harris 8 Ed Semrad 9 Martin Alessi 9 Sushi-X 10,1990,10,9,"[8.0, 9.0, 9.0, 10.0]"
15,Phelios,Genesis,Steve Harris 7 Ed Semrad 9 Martin Alessi 8 Sushi-X 9,1990,10,8.25,"[7.0, 9.0, 8.0, 9.0]"
15,Shadow of the Ninja,NES,Steve Harris 8 Ed Semrad 8 Martin Alessi 7 Sushi-X 9,1990,10,8,"[8.0, 8.0, 7.0, 9.0]"
15,Street Fighter 2010: The Final Fight,NES,Steve Harris 8 Ed Semrad 7 Martin Alessi 8 Sushi-X 7,1990,10,7.5,"[8.0, 7.0, 8.0, 7.0]"
15,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,Steve Harris 7 Ed Semrad 9 Martin Alessi 8 Sushi-X 9,1990,10,8.25,"[7.0, 9.0, 8.0, 9.0]"
15,Ys Book I & II,TurboGrafx-16,Steve Harris 8 Ed Semrad 10 Martin Alessi 9 Sushi-X 8,1990,10,8.75,"[8.0, 10.0, 9.0, 8.0]"
16,Atomic Robo-Kid,Genesis,Steve Harris 6 Ed Semrad 7 Martin Alessi 7 Sushi-X 6,1990,11,6.5,"[6.0, 7.0, 7.0, 6.0]"
16,Battle Royale,TurboGrafx-16,Steve Harris 4 Ed Semrad 7 Martin Alessi 5 Sushi-X 7,1990,11,5.75,"[4.0, 7.0, 5.0, 7.0]"
16,Bravoman,TurboGrafx-16,Steve Harris 7 Ed Semrad 5 Martin Alessi 4 Sushi-X 5,1990,11,5.25,"[7.0, 5.0, 4.0, 5.0]"
16,Columns,Genesis,Steve Harris 6 Ed Semrad 7 Martin Alessi 5 Sushi-X 7,1990,11,6.25,"[6.0, 7.0, 5.0, 7.0]"
16,Dr. Mario,Game Boy,Steve Harris 4 Ed Semrad 6 Martin Alessi 6 Sushi-X 7,1990,11,5.75,"[4.0, 6.0, 6.0, 7.0]"
16,Dragon Warrior II,NES,Steve Harris 6 Ed Semrad 7 Martin Alessi 6 Sushi-X 5,1990,11,6,"[6.0, 7.0, 6.0, 5.0]"
16,Godzilla,Game Boy,Steve Harris 6 Ed Semrad 7 Martin Alessi 5 Sushi-X 8,1990,11,6.5,"[6.0, 7.0, 5.0, 8.0]"
16,Jackie Chan’s Action Kung Fu,NES,Steve Harris 7 Ed Semrad 6 Martin Alessi 8 Sushi-X 7,1990,11,7,"[7.0, 6.0, 8.0, 7.0]"
16,Little Nemo: The Dream Master,NES,Steve Harris 7 Ed Semrad 8 Martin Alessi 7 Sushi-X 9,1990,11,7.75,"[7.0, 8.0, 7.0, 9.0]"
16,Lock ‘n’ Chase,Game Boy,Steve Harris 6 Ed Semrad 7 Martin Alessi 7 Sushi-X 8,1990,11,7,"[6.0, 7.0, 7.0, 8.0]"
16,Palamedes,NES,Steve Harris 5 Ed Semrad 7 Martin Alessi 6 Sushi-X 7,1990,11,6.25,"[5.0, 7.0, 6.0, 7.0]"
16,Pipe Dream,Game Boy,Steve Harris 5 Ed Semrad 7 Martin Alessi 6 Sushi-X 7,1990,11,6.25,"[5.0, 7.0, 6.0, 7.0]"
16,Princess Tomato in the Salad Kingdom,NES,Steve Harris 7 Ed Semrad 5 Martin Alessi 6 Sushi-X 5,1990,11,5.75,"[7.0, 5.0, 6.0, 5.0]"
16,RoadBlasters,Lynx,Steve Harris 8 Ed Semrad 7 Martin Alessi 7 Sushi-X 7,1990,11,7.25,"[8.0, 7.0, 7.0, 7.0]"
16,Strider,Genesis,Steve Harris 9 Ed Semrad 9 Martin Alessi 9 Sushi-X 9,1990,11,9,"[9.0, 9.0, 9.0, 9.0]"
16,Super Monaco GP,Genesis,Steve Harris 9 Ed Semrad 10 Martin Alessi 9 Sushi-X 10,1990,11,9.5,"[9.0, 10.0, 9.0, 10.0]"
16,Teenage Mutant Ninja Turtles: Fall of the Foot Clan,Game Boy,Steve Harris 8 Ed Semrad 8 Martin Alessi 8 Sushi-X 9,1990,11,8.25,"[8.0, 8.0, 8.0, 9.0]"
16,Thunder Force III,Genesis,Steve Harris 9 Ed Semrad 8 Martin Alessi 9 Sushi-X 7,1990,11,8.25,"[9.0, 8.0, 9.0, 7.0]"
16,Tiger Road,TurboGrafx-16,Steve Harris 7 Ed Semrad 4 Martin Alessi 7 Sushi-X 4,1990,11,5.5,"[7.0, 4.0, 7.0, 4.0]"
16,Ultima: Quest of the Avatar,NES,Steve Harris 8 Ed Semrad 8 Martin Alessi 8 Sushi-X 6,1990,11,7.5,"[8.0, 8.0, 8.0, 6.0]"
16,Ultimate Basketball,NES,Steve Harris 8 Ed Semrad 8 Martin Alessi 7 Sushi-X 9,1990,11,8,"[8.0, 8.0, 7.0, 9.0]"
16,Whip Rush,Genesis,Steve Harris 6 Ed Semrad 7 Martin Alessi 6 Sushi-X 6,1990,11,6.25,"[6.0, 7.0, 6.0, 6.0]"
16,Yo! Noid,NES,Steve Harris 5 Ed Semrad 6 Martin Alessi 7 Sushi-X 4,1990,11,5.5,"[5.0, 6.0, 7.0, 4.0]"
